Lookback Window,Rebalance Window,Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio
126,21,Equal Weight,0.08982597381710361,0.1342031311089607,0.5203006311410967
126,21,Minimum Variance,0.06291908056836593,0.0976691180004678,0.439433481606339
126,21,Maximum Sharpe,0.0918662831523222,0.15218054562316682,0.47224356344653434
126,21,Risk Parity,0.08417208611029987,0.11368034693569407,0.5644958679322144
126,21,SPY Benchmark,0.13186918700946115,0.18126024409832017,0.6171744254563646
126,63,Equal Weight,0.0873421365044925,0.1345425634458616,0.5005266346927469
126,63,Minimum Variance,0.05911023850790392,0.10139702393581898,0.38571386999148444
126,63,Maximum Sharpe,0.10580902370250192,0.15485710023857036,0.554117464231901
126,63,Risk Parity,0.08203340864602886,0.11674101817598956,0.5313762858613429
126,63,SPY Benchmark,0.12885546445669002,0.1820370849521011,0.5979851000433941
252,21,Equal Weight,0.09701610286395904,0.13493152910532258,0.5707791453533674
252,21,Minimum Variance,0.07114122009656917,0.09852485986579018,0.5190691990451278
252,21,Maximum Sharpe,0.09117825722849648,0.15220435291201684,0.46764928772859565
252,21,Risk Parity,0.09368112533530133,0.11388974786811919,0.6469513429832314
252,21,SPY Benchmark,0.1404717791656408,0.18104932168013405,0.6654086193069663
252,63,Equal Weight,0.09452779746774145,0.13529936283703903,0.5508362781981927
252,63,Minimum Variance,0.07143151861488085,0.10043328723511209,0.5120963380844122
252,63,Maximum Sharpe,0.0998905788700439,0.1546114497325778,0.5167183866927442
252,63,Risk Parity,0.09237878117048967,0.1162863986808082,0.6224182878787096
252,63,SPY Benchmark,0.13745055959573915,0.18186386727983636,0.6458158036143398
504,21,Equal Weight,0.09809380673873565,0.13856539540468132,0.563588091461523
504,21,Minimum Variance,0.07756094547184147,0.10096397429357598,0.570113705156552
504,21,Maximum Sharpe,0.13611476374240286,0.14822353948660344,0.7833760018454923
504,21,Risk Parity,0.09972680129313631,0.12618238777227814,0.6318377921094629
504,21,SPY Benchmark,0.1425068157281557,0.18586017385951537,0.6591343007176672
504,63,Equal Weight,0.09534165127580323,0.13903270855112196,0.5418987521781632
504,63,Minimum Variance,0.07607110984624464,0.10126868060434852,0.5536865841603246
504,63,Maximum Sharpe,0.1159040560126188,0.1517989588820135,0.6317833581925993
504,63,Risk Parity,0.10025212687261077,0.11911244775818307,0.6737509671158396
504,63,SPY Benchmark,0.13917907652288466,0.18683441982164997,0.6378860845697043
