Date,SPY,QQQ,IWM,TLT,GLD,VNQ,EFA
2015-01-02,205.43,102.89,118.93,127.32,114.08,82.22,60.58
2015-01-05,201.72,101.38,117.34,129.32,115.8,82.67,59.15
2015-01-06,199.82,100.02,115.31,131.65,117.12,83.49,58.48
2015-01-07,202.31,101.31,116.73,131.39,116.43,84.77,59.13
2015-01-08,205.9,103.25,118.71,129.65,115.94,85.09,59.93
2015-01-09,204.25,102.57,117.57,131.07,117.26,85.13,59.64
2015-01-12,202.65,101.5,117.18,131.82,118.56,85.78,59.5
2015-01-13,202.08,101.47,117.27,131.82,118.16,85.65,59.8
2015-01-14,200.86,100.91,116.8,132.82,117.97,86.39,59.63
2015-01-15,199.02,99.6,114.83,134.91,120.94,86.59,60.01
2015-01-16,201.63,100.77,116.7,133.19,122.52,87.34,60.79
2015-01-20,202.06,101.57,116.21,134.96,124.2,86.65,61.0
2015-01-21,203.08,102.09,115.84,133.4,124.23,86.59,61.48
2015-01-22,206.1,103.98,118.2,132.92,125.23,88.13,61.71
2015-01-23,204.97,104.21,118.12,134.77,124.23,87.88,61.36
2015-01-26,205.45,104.09,119.26,134.36,122.99,88.62,62.2
2015-01-27,202.74,101.39,118.69,134.57,124.4,88.65,62.29
2015-01-28,200.14,100.87,116.69,136.77,123.42,88.06,61.36
2015-01-29,201.99,101.84,118.3,135.87,120.76,88.37,62.2
2015-01-30,199.45,101.05,115.7,138.28,123.45,86.55,61.22
2015-02-02,201.92,101.93,116.76,137.48,122.42,86.32,61.96
2015-02-03,204.84,102.91,118.85,134.57,121.05,87.07,62.95
2015-02-04,204.06,102.82,118.41,134.8,121.58,86.71,62.43
2015-02-05,206.12,103.71,119.94,133.32,121.79,87.75,63.29
2015-02-06,205.55,103.08,119.81,130.96,118.64,85.2,62.5
2015-02-09,204.63,102.75,118.86,130.75,119.17,84.6,62.2
2015-02-10,206.81,104.35,119.62,129.71,118.47,84.87,62.77
2015-02-11,206.93,104.72,119.45,129.95,117.07,84.62,62.43
2015-02-12,208.92,105.94,120.81,129.52,117.34,85.63,63.4
2015-02-13,209.78,106.85,121.53,128.19,117.98,85.06,63.82
2015-02-17,210.11,106.95,121.91,126.26,116.01,84.85,63.97
2015-02-18,210.13,107.1,122.04,127.01,116.34,85.64,64.35
2015-02-19,209.98,107.63,122.05,126.17,115.94,83.8,64.43
2015-02-20,211.24,108.35,122.38,126.54,115.28,84.61,65.03
2015-02-23,211.21,108.46,122.5,127.99,115.43,85.29,64.8
2015-02-24,211.81,108.54,122.66,129.67,115.26,83.61,65.2
2015-02-25,211.63,108.27,122.8,130.23,115.7,83.63,65.25
2015-02-26,211.38,108.82,123.25,128.45,116.07,82.72,65.07
2015-02-27,210.66,108.34,122.58,129.53,116.16,83.37,65.1
2015-03-02,211.99,109.32,123.47,126.87,115.68,83.85,65.2
2015-03-03,211.12,108.81,122.74,126.41,115.47,83.69,64.8
2015-03-04,210.23,108.39,122.36,126.45,115.11,82.89,64.54
2015-03-05,210.46,108.58,122.72,126.29,115.0,83.13,64.69
2015-03-06,207.5,107.35,121.17,123.5,111.86,80.37,63.81
2015-03-09,208.36,107.66,121.7,124.64,111.97,81.01,63.91
2015-03-10,204.98,105.66,120.3,126.28,111.42,80.95,62.52
2015-03-11,204.5,105.05,121.04,127.2,110.75,81.02,62.68
2015-03-12,207.1,105.74,123.05,127.11,110.72,82.43,63.46
2015-03-13,205.83,105.28,122.61,126.72,110.88,82.38,63.09
2015-03-16,208.58,106.64,123.33,127.94,110.81,83.23,63.8
2015-03-17,207.96,106.81,123.66,129.0,110.21,83.2,63.64
2015-03-18,210.46,107.86,124.65,131.49,112.37,84.94,65.0
2015-03-19,209.5,108.02,124.89,130.82,112.29,84.9,64.24
2015-03-20,210.41,108.47,125.99,131.51,113.57,87.03,65.66
2015-03-23,210.0,108.26,125.88,131.35,114.29,86.92,65.99
2015-03-24,208.82,107.87,125.85,132.62,114.57,86.18,65.85
2015-03-25,205.76,105.4,122.47,131.5,114.73,84.19,65.54
2015-03-26,205.27,105.04,122.32,129.45,115.48,83.75,64.97
2015-03-27,205.74,105.46,123.1,131.06,115.06,83.86,65.14
2015-03-30,208.25,106.67,124.77,130.41,113.75,85.06,65.18
2015-03-31,206.43,105.54,124.37,130.69,113.66,84.31,64.17
2015-04-01,205.7,104.99,124.42,132.13,115.6,84.19,64.63
2015-04-02,206.44,105.06,124.65,130.73,115.28,84.83,65.19
2015-04-06,207.83,105.92,125.2,130.0,116.69,85.71,65.85
2015-04-07,207.28,105.74,124.4,131.09,116.11,84.2,65.76
2015-04-08,207.97,106.58,125.47,131.13,115.47,84.33,66.04
2015-04-09,208.9,107.25,125.02,129.43,114.67,82.58,66.13
2015-04-10,210.04,107.69,125.62,129.62,115.97,82.52,66.26
2015-04-13,209.09,107.42,125.7,129.8,115.14,82.3,65.84
2015-04-14,209.49,107.11,125.67,130.72,114.44,82.59,66.33
2015-04-15,210.43,107.78,126.55,130.61,115.43,81.97,66.63
2015-04-16,210.37,107.63,126.48,129.96,115.03,82.18,66.81
2015-04-17,207.95,105.95,124.43,131.45,115.6,81.8,65.97
2015-04-20,209.85,107.54,125.65,130.29,114.72,81.92,66.04
2015-04-21,209.6,108.0,125.52,129.7,115.38,82.06,66.63
2015-04-22,210.63,108.59,125.71,127.72,113.83,82.23,66.76
2015-04-23,211.16,109.0,126.28,128.27,114.66,82.45,67.01
2015-04-24,211.65,110.48,125.86,129.07,113.05,82.62,67.4
2015-04-27,210.77,110.2,124.47,129.07,115.33,82.51,67.73
2015-04-28,211.44,109.98,125.16,127.29,116.33,82.35,67.81
2015-04-29,210.57,109.29,123.8,125.73,115.51,80.69,67.22
2015-04-30,208.46,107.57,121.18,125.95,113.47,79.38,66.51
2015-05-01,210.72,108.99,121.97,124.0,113.08,79.98,67.25
2015-05-04,211.32,109.17,122.41,122.83,114.1,80.06,67.18
2015-05-05,208.9,107.39,120.85,122.66,114.42,78.32,66.18
2015-05-06,208.04,106.65,121.27,120.56,114.36,78.17,66.35
2015-05-07,208.87,107.29,121.73,122.18,113.42,79.37,66.13
2015-05-08,211.62,108.63,122.64,122.51,113.97,80.48,67.66
2015-05-11,210.6,108.21,122.71,119.53,113.53,79.27,67.07
2015-05-12,209.98,107.72,122.49,119.84,114.5,79.51,67.03
