"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","96.03","96.33","96.39","95.92","27.62M","-0.43%"
"12/30/2025","96.44","96.63","96.79","96.42","15.88M","0.17%"
"12/29/2025","96.28","96.26","96.46","96.06","16.71M","-0.30%"
"12/26/2025","96.57","96.53","96.60","96.33","9.30M","0.17%"
"12/25/2025","96.41","96.33","96.41","96.41","5.61M","0.00%"
"12/24/2025","96.41","96.33","96.46","96.18","5.61M","0.12%"
"12/23/2025","96.29","96.28","96.44","96.17","16.49M","0.62%"
"12/22/2025","95.70","95.47","95.76","95.40","15.86M","0.25%"
"12/19/2025","95.46","95.26","95.73","95.21","31.09M","0.67%"
"12/18/2025","94.82","94.95","95.31","94.58","29.97M","0.71%"
"12/17/2025","94.15","94.73","94.95","94.13","34.93M","-0.81%"
"12/16/2025","94.92","95.14","95.22","94.60","29.38M","-2.24%"
"12/15/2025","97.09","97.31","97.42","96.87","22.75M","0.61%"
"12/12/2025","96.50","97.06","97.18","96.14","20.51M","-0.53%"
"12/11/2025","97.01","96.71","97.15","96.63","19.22M","0.59%"
"12/10/2025","96.44","95.56","96.60","95.50","21.17M","1.11%"
"12/09/2025","95.38","95.60","95.83","95.36","15.97M","-0.14%"
"12/08/2025","95.51","95.82","95.82","95.36","13.59M","-0.31%"
"12/05/2025","95.81","96.10","96.22","95.64","15.83M","0.00%"
"12/04/2025","95.81","96.08","96.18","95.64","13.86M","0.27%"
"12/03/2025","95.55","95.12","95.59","95.10","14.44M","0.54%"
"12/02/2025","95.04","95.08","95.13","94.75","14.27M","0.34%"
"12/01/2025","94.72","94.92","95.15","94.69","21.79M","-0.49%"
"11/28/2025","95.19","94.84","95.22","94.74","8.14M","0.34%"
"11/26/2025","94.87","94.26","95.01","94.23","13.48M","1.10%"
"11/25/2025","93.84","93.13","93.88","92.89","19.90M","1.20%"
"11/24/2025","92.73","92.45","92.88","92.34","18.55M","0.09%"
"11/21/2025","92.65","92.10","92.89","91.76","27.21M","1.55%"
"11/20/2025","91.24","93.13","93.25","91.21","26.72M","-1.38%"
"11/19/2025","92.52","92.71","93.07","92.14","15.43M","-0.30%"
"11/18/2025","92.80","92.81","93.15","92.30","22.48M","-1.30%"
"11/17/2025","94.02","94.60","94.88","93.68","18.85M","-1.30%"
"11/14/2025","95.26","94.88","95.53","94.78","17.40M","-0.28%"
"11/13/2025","95.53","96.35","96.46","95.43","15.86M","-1.07%"
"11/12/2025","96.56","96.31","96.69","96.31","9.53M","0.59%"
"11/11/2025","95.99","95.67","96.14","95.67","12.96M","0.73%"
"11/10/2025","95.29","94.86","95.35","94.59","15.68M","1.05%"
"11/07/2025","94.30","93.57","94.32","93.34","13.98M","0.37%"
"11/06/2025","93.95","94.27","94.36","93.71","16.18M","-0.22%"
"11/05/2025","94.16","93.68","94.32","93.67","12.45M","0.64%"
"11/04/2025","93.56","93.53","94.03","93.44","10.35M","-1.03%"
